date,open,high,low,close,volume,volume_weighted_average,num_trades
2025-07-31 19:00:00,0.21589,0.21643,0.21589,0.21643,471325.0,0.21619680405240546,614
2025-07-31 19:01:00,0.21643,0.21643,0.21612,0.21615,225632.0,0.2163079582683307,397
2025-07-31 19:02:00,0.21614,0.21628,0.21606,0.21607,97405.0,0.21615211960371644,300
2025-07-31 19:03:00,0.21606,0.21606,0.21567,0.2157,214998.0,0.21586225364887116,497
2025-07-31 19:04:00,0.2157,0.21586,0.21555,0.21563,551482.0,0.2156739618337498,529
2025-07-31 19:05:00,0.21562,0.21585,0.21558,0.21578,189381.0,0.21566004762885402,605
2025-07-31 19:06:00,0.21579,0.21579,0.21539,0.21571,432905.0,0.21550701119183194,595
2025-07-31 19:07:00,0.21572,0.21573,0.21536,0.21539,376477.0,0.2155254621132234,352
2025-07-31 19:08:00,0.21538,0.21538,0.21502,0.21503,253314.0,0.21519774840711528,581
2025-07-31 19:09:00,0.21502,0.21514,0.2148,0.21508,1311353.0,0.21500125170720621,643
2025-07-31 19:10:00,0.21509,0.21528,0.21489,0.21495,487620.0,0.21507459634551493,565
2025-07-31 19:11:00,0.21495,0.21499,0.21433,0.21475,2494805.0,0.21456878602936905,1378
2025-07-31 19:12:00,0.21475,0.21485,0.21439,0.2144,1726866.0,0.214740680626059,970
2025-07-31 19:13:00,0.2144,0.21455,0.21405,0.21429,690814.0,0.214288334139146,1252
2025-07-31 19:14:00,0.21429,0.21445,0.21401,0.2141,418874.0,0.21417048647087192,936
2025-07-31 19:15:00,0.21411,0.21435,0.21411,0.21412,1037056.0,0.21418731509195263,1369
2025-07-31 19:16:00,0.21412,0.21424,0.21385,0.21407,804673.0,0.21403994237410726,1269
2025-07-31 19:17:00,0.21407,0.21436,0.21405,0.21416,413366.0,0.21422824042132155,907
2025-07-31 19:18:00,0.21416,0.21462,0.21406,0.2145,468510.0,0.2142312166442552,1026
2025-07-31 19:19:00,0.2145,0.21462,0.21441,0.2146,159949.0,0.21453937973979206,769
2025-07-31 19:20:00,0.21461,0.21498,0.21461,0.21495,592663.0,0.21473692196070954,891
